Video ID,Playlist ID,SI,TI,Video Title in App,URL
11,1,L(6.381),L(3.746),Video1_Sitting_LL,https://www.youtube.com/watch?v=qS368iXcUvk
12,5,L(32.068),H(37.522),Video2_Sitting_LH,https://www.youtube.com/watch?v=bQcLmdLSlcA
13,8,H(111.645),L(8.368),Video3_Sitting_HL,https://www.youtube.com/watch?v=sfjN15zsPyQ
14,12,H(120.505),H(30.116),Video4_Sitting_HH,https://www.youtube.com/watch?v=DaFRheiGED0
21,2,L(11.102),L(3.577),Video1_Walking_LL,https://www.youtube.com/watch?v=NLOp_6uPccQ
22,6,L(29.882),H(38.734),Video2_Walking_LH,https://www.youtube.com/watch?v=7apltfVJBwU
23,9,H(102.139),L(6.447),Video3_Walking_HL,https://www.youtube.com/watch?v=FoIf3yBMUbQ
24,10,H(99.431),H(28.227),Video4_Walking_HH,https://www.youtube.com/watch?v=hLfflw9hE-k
31,3,L(29.024),L(1.443),Video1_Running_LL,https://www.youtube.com/watch?v=J7GY1Xg6X20
32,4,L(31.026),H(32.039),Video2_Running_LH,https://www.youtube.com/watch?v=xB4coS5-vDQ
33,7,H(97.254),L(8.187),Video3_Running_HL,https://www.youtube.com/watch?v=WuDy1XOU6_E
34,11,H(118.447),H(38.515),Video4_Running_HH,https://www.youtube.com/watch?v=L5inD4XWz4U
Experiment ID,User ID,Video ID,Mobility State,Starting Resolution,End Resolution
1,111,11,Sitting,360,720
1,111,12,Sitting,360,480
1,111,13,Sitting,360,720
1,111,14,Sitting,360,720
1,111,21,Walking,360,720
1,111,22,Walking,360,480
1,111,23,Walking,360,480
1,111,24,Walking,360,480
1,111,31,Running,360,360
1,111,32,Running,360,480
1,111,33,Running,360,360
1,111,34,Running,360,480
2,120,12,Sitting,360,1080
2,120,13,Sitting,360,480
2,120,14,Sitting,360,480
2,120,11,Sitting,360,720
2,120,22,Walking,360,480
2,120,23,Walking,360,720
2,120,24,Walking,360,720
2,120,21,Walking,360,720
2,120,32,Running,360,1080
2,120,33,Running,360,720
2,120,34,Running,360,720
2,120,31,Running,360,480
3,121,12,Sitting,360,480
3,121,13,Sitting,360,480
3,121,14,Sitting,360,480
3,121,11,Sitting,360,720
3,121,22,Walking,360,480
3,121,23,Walking,360,480
3,121,24,Walking,360,720
3,121,21,Walking,360,720
3,121,32,Running,360,480
3,121,33,Running,360,360
3,121,34,Running,360,480
3,121,31,Running,360,360
4,131,13,Sitting,360,360
4,131,14,Sitting,360,480
4,131,11,Sitting,360,720
4,131,12,Sitting,360,480
4,131,23,Walking,360,480
4,131,24,Walking,360,720
4,131,21,Walking,360,720
4,131,22,Walking,360,480
4,131,33,Running,360,360
4,131,34,Running,360,480
4,131,31,Running,360,720
4,131,32,Running,360,720
5,132,13,Sitting,360,480
5,132,14,Sitting,360,720
5,132,11,Sitting,360,1080
5,132,12,Sitting,360,480
5,132,23,Walking,360,480
5,132,24,Walking,360,720
5,132,21,Walking,360,720
5,132,22,Walking,360,480
5,132,33,Running,360,360
5,132,34,Running,360,360
5,132,31,Running,360,480
5,132,32,Running,360,720
6,141,14,Sitting,360,720
6,141,11,Sitting,360,1080
6,141,12,Sitting,360,720
6,141,13,Sitting,360,480
6,141,24,Walking,360,720
6,141,21,Walking,360,720
6,141,22,Walking,360,480
6,141,23,Walking,360,480
6,141,34,Running,360,720
6,141,31,Running,360,480
6,141,32,Running,360,480
6,141,33,Running,360,360
7,210,21,Walking,360,720
7,210,22,Walking,360,480
7,210,23,Walking,360,480
7,210,24,Walking,360,480
7,210,31,Running,360,480
7,210,32,Running,360,480
7,210,33,Running,360,360
7,210,34,Running,360,480
7,210,11,Sitting,360,720
7,210,12,Sitting,360,480
7,210,13,Sitting,360,480
7,210,14,Sitting,360,720
8,211,21,Walking,360,480
8,211,22,Walking,360,360
8,211,23,Walking,360,360
8,211,24,Walking,360,720
8,211,31,Running,360,480
8,211,32,Running,360,480
8,211,33,Running,360,360
8,211,34,Running,360,720
8,211,11,Sitting,360,1080
8,211,12,Sitting,360,360
8,211,13,Sitting,360,480
8,211,14,Sitting,360,720
9,220,22,Walking,360,480
9,220,23,Walking,360,480
9,220,24,Walking,360,720
9,220,21,Walking,360,720
9,220,32,Running,360,480
9,220,33,Running,360,360
9,220,34,Running,360,360
9,220,31,Running,360,720
9,220,12,Sitting,360,720
9,220,13,Sitting,360,360
9,220,14,Sitting,360,480
9,220,11,Sitting,360,1080
10,221,22,Walking,360,1080
10,221,23,Walking,360,720
10,221,24,Walking,360,1080
10,221,21,Walking,360,1080
10,221,32,Running,360,1080
10,221,33,Running,360,480
10,221,34,Running,360,720
10,221,31,Running,360,720
10,221,12,Sitting,360,1080
10,221,13,Sitting,360,720
10,221,14,Sitting,360,1080
10,221,11,Sitting,360,1080
11,230,23,Walking,360,480
11,230,24,Walking,360,1080
11,230,21,Walking,360,720
11,230,22,Walking,360,480
11,230,33,Running,360,720
11,230,34,Running,360,480
11,230,31,Running,360,360
11,230,32,Running,360,720
11,230,13,Sitting,360,720
11,230,14,Sitting,360,480
11,230,11,Sitting,360,1080
11,230,12,Sitting,360,360
12,231,23,Walking,360,1080
12,231,24,Walking,360,1080
12,231,21,Walking,360,1080
12,231,22,Walking,360,1080
12,231,33,Running,360,1080
12,231,34,Running,360,1080
12,231,31,Running,360,1080
12,231,32,Running,360,1080
12,231,13,Sitting,360,1080
12,231,14,Sitting,360,1080
12,231,11,Sitting,360,1080
12,231,12,Sitting,360,1080
13,240,24,Walking,360,720
13,240,21,Walking,360,720
13,240,22,Walking,360,480
13,240,23,Walking,360,480
13,240,34,Running,360,360
13,240,31,Running,360,720
13,240,32,Running,360,720
13,240,33,Running,360,480
13,240,14,Sitting,360,480
13,240,11,Sitting,360,720
13,240,12,Sitting,360,720
13,240,13,Sitting,360,480
14,310,31,Running,360,1080
14,310,32,Running,360,1080
14,310,33,Running,360,480
14,310,34,Running,360,480
14,310,11,Sitting,360,1080
14,310,12,Sitting,360,480
14,310,13,Sitting,360,360
14,310,14,Sitting,360,480
14,310,21,Walking,360,720
14,310,22,Walking,360,360
14,310,23,Walking,360,720
14,310,24,Walking,360,1080
15,311,31,Running,360,1080
15,311,32,Running,360,480
15,311,33,Running,360,360
15,311,34,Running,360,720
15,311,11,Sitting,360,1080
15,311,12,Sitting,360,1080
15,311,13,Sitting,360,480
15,311,14,Sitting,360,1080
15,311,21,Walking,360,1080
15,311,22,Walking,360,720
15,311,23,Walking,360,720
15,311,24,Walking,360,720
16,321,32,Running,360,360
16,321,33,Running,360,480
16,321,34,Running,360,480
16,321,31,Running,360,720
16,321,12,Sitting,360,720
16,321,13,Sitting,360,360
16,321,14,Sitting,360,720
16,321,11,Sitting,360,1080
16,321,22,Walking,360,480
16,321,23,Walking,360,360
16,321,24,Walking,360,720
16,321,21,Walking,360,480
17,330,33,Running,360,720
17,330,34,Running,360,480
17,330,31,Running,360,720
17,330,32,Running,360,720
17,330,13,Sitting,360,1080
17,330,14,Sitting,360,1080
17,330,11,Sitting,360,1080
17,330,12,Sitting,360,1080
17,330,23,Walking,360,1080
17,330,24,Walking,360,720
17,330,21,Walking,360,720
17,330,22,Walking,360,480
18,331,33,Running,360,480
18,331,34,Running,360,480
18,331,31,Running,360,720
18,331,32,Running,360,720
18,331,13,Sitting,360,360
18,331,14,Sitting,360,360
18,331,11,Sitting,360,720
18,331,12,Sitting,360,480
18,331,23,Walking,360,480
18,331,24,Walking,360,720
18,331,21,Walking,360,720
18,331,22,Walking,360,480
19,340,34,Running,360,480
19,340,31,Running,360,360
19,340,32,Running,360,480
19,340,33,Running,360,480
19,340,14,Sitting,360,1080
19,340,11,Sitting,360,1080
19,340,12,Sitting,360,720
19,340,13,Sitting,360,1080
19,340,24,Walking,360,1080
19,340,21,Walking,360,720
19,340,22,Walking,360,480
19,340,23,Walking,360,720
20,110,11,Sitting,360,1080
20,110,12,Sitting,360,1080
20,110,13,Sitting,360,720
20,110,14,Sitting,360,720
20,110,21,Walking,360,1080
20,110,22,Walking,360,720
20,110,23,Walking,360,480
20,110,24,Walking,360,480
20,110,31,Running,360,720
20,110,32,Running,360,480
20,110,33,Running,360,480
20,110,34,Running,360,480
21,130,13,Sitting,360,720
21,130,14,Sitting,360,720
21,130,11,Sitting,360,1080
21,130,12,Sitting,360,1080
21,130,23,Walking,360,480
21,130,24,Walking,360,720
21,130,21,Walking,360,720
21,130,22,Walking,360,480
21,130,33,Running,360,480
21,130,34,Running,360,720
21,130,31,Running,360,720
21,130,32,Running,360,720
22,140,14,Sitting,360,720
22,140,11,Sitting,360,1080
22,140,12,Sitting,360,1080
22,140,13,Sitting,360,480
22,140,24,Walking,360,720
22,140,21,Walking,360,720
22,140,22,Walking,360,1080
22,140,23,Walking,360,480
22,140,34,Running,360,480
22,140,31,Running,360,720
22,140,32,Running,360,480
22,140,33,Running,360,480
23,320,32,Running,360,480
23,320,33,Running,360,480
23,320,34,Running,360,720
23,320,31,Running,360,720
23,320,12,Sitting,360,1080
23,320,13,Sitting,360,480
23,320,14,Sitting,360,720
23,320,11,Sitting,360,1080
23,320,23,Walking,360,480
23,320,24,Walking,360,720
23,320,21,Walking,360,720
23,320,22,Walking,360,480